similar_word,input_word,sensitivity_score
discrimination,racial,1.0
profiling,racial,0.8819345661450924
radicalism,foreign,0.8762446657183498
extremism,"racial, antisemitism",0.8634423897581791
repression,homeland,0.8634423897581791
virulent,antisemitism,0.8634423897581791
discriminatory,racial,0.8549075391180655
oppression,slavery,0.8549075391180655
totalitarianism,homeland,0.8534850640113798
ideologically,racial,0.8520625889046942
neoliberal,foreign,0.8378378378378378
eugenics,"racial, antisemitism",0.8349928876244666
repressive,slavery,0.833570412517781
stereotyping,"racial, gentile",0.833570412517781
fanaticism,"racial, gentile",0.8250355618776671
ethnocentrism,interracial,0.8207681365576103
fundamentalism,"slavery, antisemitism",0.8207681365576103
socio,diversity,0.8193456614509246
zionism,antisemitism,0.8150782361308677
ideologies,racial,0.8122332859174964
clerics,"interracial, enslavement",0.8122332859174964
predominance,"interracial, racial",0.8079658605974396
xenophobic,racial,0.8079658605974396
militarism,"interracial, enslavement",0.8051209103840683
againist,racial,0.8051209103840683
racialism,"interracial, gentile, antisemitism",0.8036984352773826
islamism,antisemitism,0.802275960170697
monarchical,foreign,0.802275960170697
misogynistic,interracial,0.8008534850640113
genocidal,gentile,0.8008534850640113
dictatorships,slavery,0.7994310099573257
diametrically,diversity,0.7923186344238976
socioeconomic,"slavery, racial",0.7894736842105263
militancy,homeland,0.7880512091038406
supremacy,"racial, white",0.7880512091038406
ethnocentric,"racial, gentile, antisemitism",0.7852062588904694
xenophobia,antisemitism,0.7837837837837838
ethnolect,foreign,0.7809388335704125
pioneering,diversity,0.7809388335704125
americanism,antisemitism,0.7795163584637269
symbology,enslavement,0.7795163584637269
philology,antisemitism,0.7780938833570412
conflate,racial,0.7780938833570412
unalienable,slavery,0.7752489331436699
supremacism,gentile,0.7738264580369844
reforms,slavery,0.7709815078236131
governmental,foreign,0.7709815078236131
rcanderlori,racial,0.7709815078236131
transphobic,racial,0.7681365576102418
atrocity,slavery,0.7681365576102418
fervor,gentile,0.7681365576102418
characterise,"diversity, seminal",0.7667140825035562
staunch,gentile,0.7667140825035562
secularism,slavery,0.7652916073968705
capacities,diversity,0.7652916073968705
perjorative,antisemitism,0.7638691322901849
constituting,"nation, immigrant",0.7624466571834992
progressives,slavery,0.7610241820768137
mordor,gentile,0.7610241820768137
orientations,"interracial, racial",0.7610241820768137
arabism,antisemitism,0.7610241820768137
paganism,racial,0.7610241820768137
reinforces,racial,0.7567567567567567
houthis,"interracial, enslavement",0.7553342816500711
reeks,antisemitism,0.7553342816500711
legalization,interracial,0.7553342816500711
sensationalism,respectability,0.7553342816500711
marxists,gentile,0.7539118065433854
anycase,antisemitism,0.7539118065433854
demonization,enslavement,0.7539118065433854
ethnic,"ethnicity, racial",0.7531749059031756
safavids,"ethnicity, tribe, ancestors",0.7517780938833569
amren,diversity,0.7510668563300141
influencing,diversity,0.7496443812233285
excesses,interracial,0.748221906116643
atheistic,mankind,0.748221906116643
militaristic,interracial,0.748221906116643
geopolitical,nation,0.7467994310099573
separatists,immigrant,0.7467994310099573
pederasty,antisemitism,0.7453769559032717
essentialist,"diversity, racial",0.7453769559032717
interfaith,slavery,0.743954480796586
theism,antisemitism,0.743954480796586
antisemitic,antisemitism,0.743954480796586
fanatically,gentile,0.7425320056899004
looting,enslavement,0.7411095305832147
jewishness,"immigrant, racial",0.7396870554765291
houthi,"homeland, migrants",0.7396870554765291
expatriate,"immigrant, homeland, migrants",0.7396870554765291
copts,enslavement,0.7382645803698434
sociologists,racial,0.7368421052631579
betraying,gentile,0.7368421052631579
postmodern,diversity,0.7368421052631579
understandings,diversity,0.7354196301564722
bolshevik,"refugee, homeland",0.7354196301564722
lobbyists,interracial,0.7339971550497866
homeopaths,diversity,0.7339971550497866
chauvinist,racial,0.732574679943101
stigmatize,interracial,0.732574679943101
connotations,racial,0.732574679943101
apologetic,antisemitism,0.732574679943101
hygiene,racial,0.732574679943101
antisemtism,"gentile, antisemitism",0.7297297297297297
orientated,diversity,0.7297297297297297
revisionism,antisemitism,0.7297297297297297
complexities,mastery,0.728307254623044
polisario,foreign,0.728307254623044
azerbaijani,ethnicity,0.7276388128173639
inferiors,enslavement,0.7268847795163584
reflective,diversity,0.7268847795163584
reverence,interracial,0.7268847795163584
subjugation,"homeland, migrants",0.7254623044096727
rabidly,gentile,0.7254623044096727
inhabited,"natives, ancestors",0.7248742427154353
rioting,slavery,0.7240398293029872
protestantism,antisemitism,0.7240398293029872
orgs,"interracial, immigrant",0.7240398293029872
diluted,"immigrant, migrants",0.7226173541963015
antisemites,"gentile, antisemitism",0.7226173541963015
infiltration,refugee,0.7211948790896159
semiticism,antisemitism,0.7211948790896159
rationalism,slavery,0.7211948790896159
adherent,interracial,0.7211948790896159
scandinavians,interracial,0.7197724039829302
independance,slavery,0.7183499288762446
colonialist,"interracial, enslavement, homeland",0.7183499288762446
slurs,racial,0.716927453769559
undercut,mastery,0.716927453769559
commonalities,diversity,0.716927453769559
linguistically,"ethnicity, natives",0.716927453769559
remarriage,slavery,0.7155049786628733
conflates,interracial,0.7155049786628733
interracial,racial,0.7155049786628733
orientation,gender,0.7155049786628733
compels,spirit,0.7140825035561877
mithras,enslavement,0.712660028449502
germanic,ethnicity,0.7115436671902969
peppered,antisemitism,0.7112375533428164
blinding,mastery,0.7098150782361308
gentiles,gentile,0.7098150782361308
nazism,antisemitism,0.7098150782361308
iranic,"ethnicity, natives, nation, ancestors",0.7093890734196162
manchu,foreign,0.7086438367740382
turkic,ethnicity,0.7086323069084368
ascribes,one,0.7083926031294451
halakha,gentile,0.7069701280227595
revolutionaries,homeland,0.7069701280227595
obsessions,mastery,0.7069701280227595
moroccans,"immigrant, enslavement",0.7069701280227595
syrians,"tribe, ancestors",0.7056445287343136
stereotypes,racial,0.7055476529160738
omnipresent,nation,0.7055476529160738
glorification,gentile,0.7055476529160738
wahabis,homeland,0.7041251778093882
expansionist,enslavement,0.7041251778093882
epirus,tribe,0.7041054205965267
focussed,seminal,0.7027027027027025
sociological,diversity,0.7027027027027025
fundamentalist,antisemitism,0.7027027027027025
disarm,refugee,0.7027027027027025
classifier,racial,0.7027027027027025
prosperity,slavery,0.7012802275960169
disparity,diversity,0.7012802275960169
embraces,interracial,0.7012802275960169
effeminacy,"gender, interracial",0.6998577524893312
insurgency,refugee,0.6998577524893312
pernicious,respectability,0.6998577524893312
nakba,"refugee, homeland",0.6998577524893312
constitutions,nation,0.6998577524893312
graphically,seminal,0.6984352773826457
slur,racial,0.6984352773826457
hogwash,antisemitism,0.69701280227596
hysteria,racial,0.69701280227596
abolition,"immigrant, foreign",0.69701280227596
puntland,"homeland, migrants",0.69701280227596
belies,seminal,0.69701280227596
apologetics,antisemitism,0.69701280227596
psychotherapy,disability,0.69701280227596
manchus,ethnicity,0.69701280227596
ancestral,"tribe, ancestors",0.6966035436788272
tibetans,"natives, immigrant",0.6959113203386216
deobandi,homeland,0.6955903271692744
xinjiang,"nation, immigrant, migrants",0.6955903271692744
polity,slavery,0.6941678520625888
anthropologists,diversity,0.6941678520625888
revolts,"slavery, migrants",0.6941678520625888
aboriginals,"interracial, white",0.6941678520625888
historicism,antisemitism,0.6927453769559031
eschatology,antisemitism,0.6913229018492175
somalis,enslavement,0.6913229018492175
apologist,antisemitism,0.6913229018492175
democracies,nation,0.6899004267425318
obscures,seminal,0.6899004267425318
anglophile,gentile,0.6884779516358462
apostasy,slavery,0.6884779516358462
vientiane,enslavement,0.6884779516358462
niceties,mastery,0.6884779516358462
mughals,"tribe, ancestors",0.6871452306749724
persianized,"ethnicity, tribe, immigrant, oriental",0.6870554765291605
orientalism,slavery,0.6870554765291605
engender,respectability,0.6870554765291605
referendums,nation,0.685633001422475
israelites,"slaves, natives, ancestors",0.6848264141705848
masculism,interracial,0.6842105263157893
thriving,diversity,0.6842105263157893
infidels,gentile,0.6842105263157893
semitism,antisemitism,0.6827880512091038
sobriety,interracial,0.6827880512091038
dismantling,foreign,0.6827880512091038
caucasian,"ethnicity, racial, white",0.6823790092910201
phoenician,"tribe, oriental",0.682173946379488
salafis,interracial,0.6813655761024182
evoke,"interracial, enslavement",0.6813655761024182
ccp,gentile,0.6799431009957325
sufferings,enslavement,0.6799431009957325
endemic,disability,0.6799431009957325
camptown,migrants,0.6785206258890469
rastafarian,mastery,0.6785206258890469
liberating,"slavery, interracial, enslavement",0.6785206258890469
sexless,pale,0.6770981507823612
postulates,seminal,0.6770981507823612
farsi,ethnicity,0.6752887979301985
anatolian,"natives, ancestors, oriental",0.6745175441881085
subjugate,migrants,0.6742532005689901
turko,"ethnicity, oriental",0.6742532005689901
unaffected,seminal,0.6742532005689901
anglos,racial,0.6742532005689901
phobias,antisemitism,0.6742532005689901
mongols,"ethnicity, natives, ancestors, tribe",0.6736001384731791
overthrow,homeland,0.6728307254623044
manifestation,mankind,0.6728307254623044
stateless,"nation, immigrant",0.6714082503556188
securityfuck,homeland,0.6714082503556188
rallied,homeland,0.6714082503556188
dari,ethnicity,0.6701845145814151
governement,refugee,0.6699857752489331
quakers,mastery,0.6699857752489331
theravada,oriental,0.6699857752489331
coalitions,homeland,0.6699857752489331
dictating,mastery,0.6685633001422475
sacrificed,"slavery, gentile",0.6671408250355618
analytic,seminal,0.6671408250355618
industrialized,migrants,0.6671408250355618
expandism,oriental,0.6671408250355618
tribes,tribe,0.666787575827588
simplifications,mastery,0.6657183499288762
gassing,"enslavement, gentile",0.6657183499288762
multinational,foreign,0.6657183499288762
ecological,disability,0.6642958748221905
goverment,foreign,0.6642958748221905
borrows,oriental,0.6642958748221905
observance,spirit,0.6642958748221905
niominka,immigrant,0.6642958748221905
birther,interracial,0.6642958748221905
syriac,tribe,0.6639165004330465
barlas,"ethnicity, tribe",0.662873399715505
smokers,"interracial, intersex",0.662873399715505
legalized,"interracial, enslavement",0.6614509246088193
protectorate,foreign,0.6614509246088193
lebensraum,gentile,0.6614509246088193
jihadists,"interracial, enslavement",0.6600284495021337
insurgent,migrants,0.6600284495021337
monotheistic,slavery,0.6600284495021337
neglects,seminal,0.6600284495021337
heretic,mankind,0.6600284495021337
lipson,gentile,0.6586059743954481
expel,"refugee, homeland",0.6586059743954481
innately,intersex,0.6586059743954481
ethno,"ethnicity, racial",0.6582176521300541
gutter,gentile,0.6571834992887624
ambiance,mastery,0.6571834992887624
outlooks,"mastery, diversity",0.6571834992887624
counterparts,foreign,0.6571834992887624
ambivalent,slavery,0.6571834992887624
drpizza,respectability,0.6571834992887624
hires,nurse,0.6571834992887624
evolutionism,seminal,0.6571834992887624
vichy,foreign,0.6557610241820768
loathing,respectability,0.6557610241820768
selimovic,oriental,0.6557610241820768
agaisnt,foreign,0.6543385490753911
semiotics,mastery,0.6543385490753911
liberate,homeland,0.6543385490753911
honoring,slavery,0.6543385490753911
personhood,intersex,0.6543385490753911
jewry,homeland,0.6543385490753911
oversensitive,bossy,0.6529160739687055
inequality,"gender, diversity",0.6529160739687055
shockingly,one,0.6514935988620199
lowers,respectability,0.6514935988620199
antipsychotics,intersex,0.6514935988620199
passports,immigrant,0.6514935988620199
cuchullian,oriental,0.6514935988620199
jains,interracial,0.6514935988620199
isan,"ethnicity, natives",0.6511644278107634
bullshits,respectability,0.6500711237553343
congressmen,refugee,0.6500711237553343
moslems,"nation, enslavement",0.6500711237553343
mede,"natives, immigrant, ancestors",0.64911982737265
duklja,tribe,0.6489890311947017
migrants,"slaves, immigrant",0.6486486486486486
militias,refugee,0.6486486486486486
politicans,"nation, immigrant",0.6486486486486486
affraid,nation,0.6486486486486486
mizrahi,"immigrant, enslavement",0.6486486486486486
oghuz,"tribe, ancestors, oriental",0.6472528817516164
rearing,interracial,0.647226173541963
samaria,homeland,0.647226173541963
militants,refugee,0.647226173541963
jihad,antisemitism,0.647226173541963
innovate,intersex,0.647226173541963
moravians,ethnicity,0.647226173541963
outlawed,"slavery, slaves",0.647226173541963
inquisitions,"slavery, enslavement",0.6458036984352773
hopelessly,antisemitism,0.6458036984352773
overthrowing,foreign,0.6458036984352773
azari,"ethnicity, barbarian, nation, ancestors",0.6457729751003951
tractatus,mastery,0.6443812233285917
lefties,gentile,0.6443812233285917
demonym,foreign,0.6443812233285917
ameng,"mastery, foreign",0.6443812233285917
encapsulate,mastery,0.6443812233285917
salafists,"enslavement, homeland",0.6443812233285917
conflation,seminal,0.6443812233285917
persia,ancestors,0.64305585010678
ingenious,one,0.642958748221906
shortsightedness,respectability,0.642958748221906
sickens,"gentile, deaf",0.642958748221906
immigrated,"slaves, natives, immigrant",0.6423671629338299
normans,"natives, ancestors",0.6421900992372466
sephardic,ancestors,0.6415362731152204
sceptical,diversity,0.6415362731152204
beheadings,enslavement,0.6415362731152204
