similar_word,input_word,sensitivity_score
discrimination,racial,1.0
turkic,ethnicity,0.9990569324512977
syriac,tribe,0.9551445229144574
tribes,tribe,0.9409720222099413
mughals,ancestors,0.9404355538108267
conquered,tribe,0.8931341212505781
migrated,ancestors,0.8891783200353971
descendants,ancestors,0.8879668241850168
persia,ancestors,0.8821287699148402
isan,ethnicity,0.8784312738292083
duklja,tribe,0.8683905801703424
descended,ancestors,0.8407104233167175
avars,slaves,0.8038716325633721
saxons,natives,0.7844043843548077
profiling,racial,0.7838541666666665
radicalism,foreign,0.7734374999999998
extremism,"racial, antisemitism",0.7499999999999998
repression,homeland,0.7499999999999998
virulent,antisemitism,0.7499999999999998
oppression,slavery,0.7343750000000001
discriminatory,racial,0.7343750000000001
totalitarianism,homeland,0.7317708333333334
ideologically,racial,0.7291666666666667
neoliberal,foreign,0.703125
eugenics,"racial, antisemitism",0.6979166666666667
repressive,slavery,0.6953125
stereotyping,"racial, gentile",0.6953125
principle,spirit,0.6936738863995543
fanaticism,"racial, gentile",0.6796875
ethnocentrism,interracial,0.671875
fundamentalism,"slavery, antisemitism",0.671875
socio,diversity,0.6692708333333334
zionism,antisemitism,0.6614583333333334
ideologies,racial,0.65625
clerics,"interracial, enslavement",0.65625
predominance,"racial, interracial",0.6484375
xenophobic,racial,0.6484375
againist,racial,0.6432291666666666
militarism,"interracial, enslavement",0.6432291666666666
racialism,"antisemitism, interracial, gentile",0.640625
islamism,antisemitism,0.6380208333333333
monarchical,foreign,0.6380208333333333
genocidal,gentile,0.6354166666666666
misogynistic,interracial,0.6354166666666666
dictatorships,slavery,0.6328125
ethnic,"racial, ethnicity",0.6237796800852523
diametrically,diversity,0.6197916666666666
tehran,slaves,0.6178320662496221
socioeconomic,"racial, slavery",0.6145833333333333
militancy,homeland,0.6119791666666666
supremacy,"racial, white",0.6119791666666666
ethnocentric,"racial, antisemitism, gentile",0.6067708333333333
xenophobia,antisemitism,0.6041666666666666
