similar_word,sensitivity_score,input_word
safavids,0.40743324,ancestors
turkic,0.40711743,ethnicity
germanic,0.39668217,ethnicity
syriac,0.39241225,tribe
azerbaijani,0.39031324,ethnicity
tribes,0.38766623,tribe
mughals,0.38748658,ancestors
epirus,0.3778862,tribe
farsi,0.3719241,ethnicity
conquered,0.3716465,tribe
migrated,0.3703218,ancestors
descendants,0.3699161,ancestors
inhabited,0.36988395,ancestors
ancestral,0.369051,ancestors
persia,0.36796108,ancestors
dari,0.3675528,ethnicity
isan,0.36672288,ethnicity
duklja,0.3633605,tribe
caucasian,0.356666,ethnicity
syrians,0.35462308,ancestors
descended,0.3540911,ancestors
oghuz,0.35314703,ancestors
mongols,0.35173905,ethnicity
iranic,0.35141477,ethnicity
normans,0.34737447,natives
ethnic,0.34644303,racial
manchu,0.34615213,foreign
anatolian,0.3433028,natives
avars,0.3417547,slaves
israelites,0.34163284,natives
phoenician,0.3403327,oriental
saxons,0.3352356,natives
descendents,0.32850307,immigrant
eurasian,0.3243227,oriental
immigrated,0.32319912,immigrant
jehova,0.31885183,oriental
afghans,0.31776786,nation
mestizo,0.31649667,immigrant
tibetans,0.31285423,immigrant
principle,0.3048522,spirit
mede,0.30009332,immigrant
ardabil,0.29639915,oriental
suryoye,0.29479608,barbarian
assyria,0.29453665,nation
azari,0.29404095,barbarian
decendents,0.29325986,enslavement
hephthalites,0.28823417,barbarian
highlands,0.28550068,oriental
aboriginal,0.2820928,nation
khwarizm,0.28142604,oriental
tehran,0.27945465,slaves
spaniards,0.2768298,white
uniting,0.27596,migrants
uralic,0.2750092,oriental
moors,0.27389354,white
finnish,0.2736938,foreign
danes,0.27295306,slaves
nordic,0.2702669,white
hungarians,0.2676693,nation
minors,0.26674974,gender
snowden,0.26635483,one
languange,0.26582044,barbarian
swedes,0.26467478,immigrant
immigrants,0.26214013,immigrant
caucasians,0.26165277,white
ancestory,0.26006025,immigrant
plundered,0.25716963,enslavement
tajikistan,0.25687322,immigrant
tunisians,0.25588986,enslavement
philistines,0.2550528,gentile
sparta,0.25281334,nation
maldives,0.25249535,foreign
ethnicity,0.2508208,gender
ethno,0.25045344,racial
laos,0.24981739,homeland
